paper_id,cluster_id,cluster_label,umap_x,umap_y
11605,0,Shared Medium Coordination,64.4959,69.3359
11638,0,Shared Medium Coordination,42.6295,55.0000
11652,0,Shared Medium Coordination,70.6271,75.4325
11688,0,Shared Medium Coordination,90.0847,49.6271
11758,0,Shared Medium Coordination,91.5749,61.0611
11781,0,Shared Medium Coordination,85.5604,51.7404
11791,0,Shared Medium Coordination,87.8893,50.9622
11802,0,Shared Medium Coordination,91.2984,61.3644
11806,0,Shared Medium Coordination,88.5561,50.4950
11813,0,Shared Medium Coordination,89.4217,52.3065
11831,0,Shared Medium Coordination,89.3570,49.6167
11841,0,Shared Medium Coordination,86.9064,53.8204
11937,0,Shared Medium Coordination,88.1609,49.5065
11938,0,Shared Medium Coordination,87.7534,49.4493
11956,0,Shared Medium Coordination,52.8748,58.0535
11963,0,Shared Medium Coordination,79.9821,61.3475
12013,0,Shared Medium Coordination,91.2489,60.6986
12028,0,Shared Medium Coordination,89.9227,50.3371
12031,0,Shared Medium Coordination,89.1705,51.3836
12048,0,Shared Medium Coordination,51.6128,60.0354
12095,0,Shared Medium Coordination,49.5776,53.3230
12096,0,Shared Medium Coordination,51.7799,57.4034
12101,0,Shared Medium Coordination,88.3611,50.0621
12140,0,Shared Medium Coordination,89.6320,58.4591
12150,0,Shared Medium Coordination,80.0262,61.3996
12181,0,Shared Medium Coordination,90.2518,60.9019
12200,0,Shared Medium Coordination,86.5775,52.6830
12246,0,Shared Medium Coordination,91.0192,60.8885
12273,0,Shared Medium Coordination,45.6707,37.1889
12281,0,Shared Medium Coordination,90.5964,51.1859
12290,0,Shared Medium Coordination,88.7575,60.1432
12412,0,Shared Medium Coordination,48.5822,54.2629
12456,0,Shared Medium Coordination,50.8593,57.6699
12479,0,Shared Medium Coordination,90.4678,60.8643
12486,0,Shared Medium Coordination,91.4089,61.6295
12640,0,Shared Medium Coordination,90.2044,61.0954
12722,0,Shared Medium Coordination,89.5071,53.6422
12728,0,Shared Medium Coordination,91.0553,60.7980
12737,0,Shared Medium Coordination,44.6653,42.6907
12782,0,Shared Medium Coordination,87.0637,51.8157
12793,0,Shared Medium Coordination,85.9838,54.7034
12801,0,Shared Medium Coordination,41.3680,44.9727
12802,0,Shared Medium Coordination,59.8531,56.1619
12803,0,Shared Medium Coordination,51.3137,59.7676
12806,0,Shared Medium Coordination,50.4817,56.0066
12958,0,Shared Medium Coordination,65.0513,36.1798
12999,0,Shared Medium Coordination,91.0519,60.8576
13033,0,Shared Medium Coordination,64.3435,36.2693
13066,0,Shared Medium Coordination,66.2305,68.0555
13067,0,Shared Medium Coordination,91.4636,62.0751
13109,0,Shared Medium Coordination,91.0123,51.4043
13126,0,Shared Medium Coordination,80.5213,62.9760
13242,0,Shared Medium Coordination,41.9366,45.6940
13248,0,Shared Medium Coordination,50.1542,57.6913
13310,0,Shared Medium Coordination,48.5296,57.8428
13375,0,Shared Medium Coordination,79.6969,61.6768
13493,0,Shared Medium Coordination,91.3297,60.8477
13510,0,Shared Medium Coordination,50.1608,58.2028
13515,0,Shared Medium Coordination,90.2942,60.9220
13596,0,Shared Medium Coordination,50.0353,57.1834
13599,0,Shared Medium Coordination,89.7765,60.6178
13603,0,Shared Medium Coordination,91.6996,53.6230
13649,0,Shared Medium Coordination,91.0318,60.0982
13688,0,Shared Medium Coordination,89.5144,60.6761
13756,0,Shared Medium Coordination,50.4589,82.2102
13762,0,Shared Medium Coordination,53.8582,60.9705
13769,0,Shared Medium Coordination,52.9377,76.4923
13771,0,Shared Medium Coordination,47.1042,76.9075
13772,0,Shared Medium Coordination,45.0006,77.0289
13775,0,Shared Medium Coordination,44.5341,75.8436
13779,0,Shared Medium Coordination,70.5090,75.4698
13786,0,Shared Medium Coordination,41.1931,56.0728
